Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100pF","C_0805_2012Metric",141.3821,-87.9688,180.0000,bottom
"C2","100pF","C_0805_2012Metric",141.3821,-90.2548,180.0000,bottom
"C3","100pF","C_0805_2012Metric",141.6956,-95.9004,180.0000,bottom
"C4","100pF","C_0805_2012Metric",141.6956,-98.1864,0.0000,bottom
"C5","18pF","C_0805_2012Metric",148.1126,-89.0780,90.0000,bottom
"C6","33pF","C_0805_2012Metric",148.4072,-97.0434,-90.0000,bottom
"C7","18pF","C_0805_2012Metric",152.3036,-89.0823,90.0000,bottom
"C8","39pF","C_0805_2012Metric",156.2812,-96.9520,-90.0000,bottom
"C9","18pF","C_0805_2012Metric",156.4692,-89.1034,90.0000,bottom
"C10","100pF","C_0805_2012Metric",164.9172,-95.8344,180.0000,bottom
"C11","100pF","C_0805_2012Metric",164.9172,-98.1204,0.0000,bottom
"C12","100pF","C_0805_2012Metric",165.0544,-87.9350,180.0000,bottom
"C13","100pF","C_0805_2012Metric",165.0544,-90.2210,180.0000,bottom
"J1","SATA7-67491-1030","SATA-7_THT_VERT_2",133.9230,-88.9240,90.0000,top
"J2","SATA7-67491-1030","SATA-7_THT_VERT_2",177.8980,-88.9240,90.0000,top
"L1","27nH","L_0805_2012Metric",145.1370,-88.1212,0.0000,bottom
"L2","27nH","L_0805_2012Metric",145.1370,-90.1532,180.0000,bottom
"L3","22nH","L_0805_2012Metric",145.4100,-96.0376,0.0000,bottom
"L4","22nH","L_0805_2012Metric",145.4100,-98.0696,0.0000,bottom
"L5","10nH","L_0805_2012Metric",150.1446,-89.0780,-90.0000,bottom
"L6","5.6nH","L_0805_2012Metric",150.4392,-97.0434,-90.0000,bottom
"L7","82nH","L_0805_2012Metric",151.2114,-86.2586,0.0000,bottom
"L8","82nH","L_0805_2012Metric",151.1860,-91.8466,180.0000,bottom
"L9","39nH","L_0805_2012Metric",153.2840,-95.9868,0.0000,bottom
"L10","39nH","L_0805_2012Metric",153.2840,-98.0188,0.0000,bottom
"L11","10nH","L_0805_2012Metric",154.3356,-89.0823,-90.0000,bottom
"L12","4.7nH","L_0805_2012Metric",158.3132,-96.9520,-90.0000,bottom
"L13","82nH","L_0805_2012Metric",155.4024,-86.2586,0.0000,bottom
"L14","82nH","L_0805_2012Metric",155.4024,-91.8974,180.0000,bottom
"L15","18nH","L_0805_2012Metric",161.1834,-95.9614,0.0000,bottom
"L16","18nH","L_0805_2012Metric",161.1834,-97.9934,0.0000,bottom
"L17","10nH","L_0805_2012Metric",158.5012,-89.1034,-90.0000,bottom
"L18","27nH","L_0805_2012Metric",161.3460,-88.0874,0.0000,bottom
"L19","27nH","L_0805_2012Metric",161.3460,-90.1194,180.0000,bottom
"M1","HOLE","MountingHole_3mm",129.1540,-77.3940,0.0000,top
"M2","HOLE","MountingHole_3mm",179.9540,-77.3940,0.0000,top
"M3","HOLE","MountingHole_3mm",179.9540,-107.8740,0.0000,top
"M4","HOLE","MountingHole_3mm",129.1540,-107.8740,0.0000,top
