Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100pF","C_0805_2012Metric",17.3081,24.9852,180.0000,bottom
"C2","100pF","C_0805_2012Metric",17.3081,22.6992,180.0000,bottom
"C3","100pF","C_0805_2012Metric",17.6216,17.0536,180.0000,bottom
"C4","100pF","C_0805_2012Metric",17.6216,14.7676,0.0000,bottom
"C5","18pF","C_0805_2012Metric",24.0386,23.8760,90.0000,bottom
"C6","33pF","C_0805_2012Metric",24.3332,15.9106,-90.0000,bottom
"C7","18pF","C_0805_2012Metric",28.2296,23.8717,90.0000,bottom
"C8","39pF","C_0805_2012Metric",32.2072,16.0020,-90.0000,bottom
"C9","18pF","C_0805_2012Metric",32.3952,23.8506,90.0000,bottom
"C10","100pF","C_0805_2012Metric",40.8432,17.1196,180.0000,bottom
"C11","100pF","C_0805_2012Metric",40.8432,14.8336,0.0000,bottom
"C12","100pF","C_0805_2012Metric",40.9804,25.0190,180.0000,bottom
"C13","100pF","C_0805_2012Metric",40.9804,22.7330,180.0000,bottom
"L1","27nH","L_0805_2012Metric",21.0630,24.8328,0.0000,bottom
"L2","27nH","L_0805_2012Metric",21.0630,22.8008,180.0000,bottom
"L3","22nH","L_0805_2012Metric",21.3360,16.9164,0.0000,bottom
"L4","22nH","L_0805_2012Metric",21.3360,14.8844,0.0000,bottom
"L5","10nH","L_0805_2012Metric",26.0706,23.8760,-90.0000,bottom
"L6","5.6nH","L_0805_2012Metric",26.3652,15.9106,-90.0000,bottom
"L7","82nH","L_0805_2012Metric",27.1374,26.6954,0.0000,bottom
"L8","82nH","L_0805_2012Metric",27.1120,21.1074,180.0000,bottom
"L9","39nH","L_0805_2012Metric",29.2100,16.9672,0.0000,bottom
"L10","39nH","L_0805_2012Metric",29.2100,14.9352,0.0000,bottom
"L11","10nH","L_0805_2012Metric",30.2616,23.8717,-90.0000,bottom
"L12","4.7nH","L_0805_2012Metric",34.2392,16.0020,-90.0000,bottom
"L13","82nH","L_0805_2012Metric",31.3284,26.6954,0.0000,bottom
"L14","82nH","L_0805_2012Metric",31.3284,21.0566,180.0000,bottom
"L15","18nH","L_0805_2012Metric",37.1094,16.9926,0.0000,bottom
"L16","18nH","L_0805_2012Metric",37.1094,14.9606,0.0000,bottom
"L17","10nH","L_0805_2012Metric",34.4272,23.8506,-90.0000,bottom
"L18","27nH","L_0805_2012Metric",37.2720,24.8666,0.0000,bottom
"L19","27nH","L_0805_2012Metric",37.2720,22.8346,180.0000,bottom
